tweet_id,text,created_at,author_id,author_username,author_name,author_followers,author_following,author_tweet_count,author_verified,user_location,retweet_count,like_count,reply_count,quote_count,impression_count,lang,possibly_sensitive,source,collected_at,party,sentiment,district,user_type,month,year
202501000000,BJP is reviewing its social media strategy. #BJP Strong presence in Namakkal.,2025-01-21T09:32:20Z,955441577675069525,குமார்1366,குமார்,873,1475,59351,False,"Kanyakumari, Tamil Nadu",4,37,5,2,5547,en,False,TweetDeck,2025-12-01T06:01:44.830085Z,BJP,neutral,Kanyakumari,regular,2025-01,2025
202501000001,AIADMK is focusing on booth-level management. #AIADMK,2025-01-27T18:48:30Z,970524559843557115,TNPol682,Lakshmi Reddy,21877,723,80168,True,"Erode, Tamil Nadu",872,5444,17,7,989851,en,False,Twitter for iPhone,2025-12-01T06:01:44.831511Z,AIADMK,neutral,Erode,political,2025-01,2025
202501000002,Youth are increasingly supporting DMK in Tamil Nadu. #TN2026,2025-01-12T12:17:15Z,410605606105806713,மோகன்8729,மோகன் Pillai,8557,1190,57060,False,"Tiruchirappalli, Tamil Nadu",52,440,22,8,55317,ta,False,Twitter Web App,2025-12-01T06:01:44.831511Z,DMK,positive,Tiruchirappalli,regular,2025-01,2025
202501000003,BJP is studying demographic changes in Tamil Nadu. Strong presence in Tiruchirappalli. இளைஞர்கள்,2025-01-10T12:58:52Z,326816207989411502,TNPol45,Selvan,167082,4089,8915,False,"Coimbatore, Tamil Nadu",10856,34908,120,42,6405113,en,False,Buffer,2025-12-01T06:01:44.831511Z,BJP,neutral,Coimbatore,political,2025-01,2025
202501000004,DMK's alliance decisions are confusing party workers. #DMKForTN Strong presence in Thoothukudi.,2025-01-19T09:14:02Z,340462573792791821,Selvan9504,Selvan Iyer,11489,349,62416,False,"Dindigul, Tamil Nadu",76,545,24,7,47636,en,False,TweetDeck,2025-12-01T06:01:44.831511Z,DMK,negative,Dindigul,regular,2025-01,2025
202501000005,NTK's campaign strategy is resonating with Tamil Nadu voters. #NaamTamilar #TamilNaduElections2026 Strong presence in Tirunelveli. https://t.co/tnupdate2 இளைஞர்கள்,2025-01-06T10:24:57Z,933336425679491925,Senthil6142,Senthil,18746,571,12539,False,"Tirunelveli, Tamil Nadu",86,290,14,0,37745,en,False,Twitter for iPhone,2025-12-01T06:01:44.831511Z,NTK,positive,Tirunelveli,regular,2025-01,2025
202501000006,NTK's campaign lacks clear direction according to observers. #NTK,2025-01-26T11:33:13Z,952511891638995755,முருகன்7464,முருகன் Gounder,40062,1426,29018,True,"Madurai, Tamil Nadu",76,2539,32,11,217479,ta,False,Twitter for Android,2025-12-01T06:01:44.831511Z,NTK,negative,Madurai,regular,2025-01,2025
202501000007,CPM leaders are making controversial statements. #TNElection2026,2025-01-15T02:23:59Z,604241180363952936,Thalapathy9726,TVK Supporter,34049,207,61752,True,"Coimbatore, Tamil Nadu",5391,31460,110,1,2614644,en,False,Twitter Web App,2025-12-01T06:01:44.831511Z,CPM,negative,Coimbatore,fan_account,2025-01,2025
202501000008,AIADMK is focusing on booth-level management. Strong presence in Tiruppur.,2025-01-12T10:59:26Z,281036030383522987,ரமேஷ்3779,ரமேஷ்,44084,1431,16942,False,"Tirunelveli, Tamil Nadu",178,1327,17,8,145294,ta,False,Twitter for Android,2025-12-01T06:01:44.831511Z,AIADMK,neutral,Tirunelveli,regular,2025-01,2025
202501000009,DMK leaders are making controversial statements. #Muthuvel,2025-01-19T22:56:55Z,300795758795393207,முருகன்3959,முருகன் Reddy,5276,1557,17667,False,"Kanyakumari, Tamil Nadu",24,351,59,0,39225,en,False,TweetDeck,2025-12-01T06:01:44.831511Z,DMK,negative,Kanyakumari,regular,2025-01,2025
